id;fecha;temp;feelslike;dew;humidity;precip;precipprob;windgust;windspeed;winddir;cloudcover;visibility;conditionsDay
5549;14/01/2026 12:00;10.6;9.9;3.8;64.0;0.0;7;14.5;6.9;245;82.1;13.1;cloudy
3645;14/01/2026 12:00;9.9;9.4;4.6;80.9;0.0;0;18.5;11.7;238;51.8;11.4;partly-cloudy
6072;14/01/2026 12:00;10.9;10.2;3.1;71.2;0.0;0;18.6;6.1;258;40.9;10.8;partly-cloudy
10890;14/01/2026 12:00;11.6;11.0;3.6;63.9;0.0;6;20.6;3.0;212;48.8;10.7;partly-cloudy
6256;14/01/2026 12:00;10.9;10.4;3.4;68.1;0.0;1;14.6;8.4;228;59.5;17.1;partly-cloudy
10845;14/01/2026 12:00;11.1;10.2;4.6;75.8;0.0;6;17.9;7.9;269;19.5;12.2;clear
5365;14/01/2026 12:00;9.4;8.8;4.6;73.5;0.0;6;13.1;7.5;280;37.5;10.5;partly-cloudy
4170;14/01/2026 12:00;10.5;10.1;4.3;67.7;0.0;16;14.1;10.7;215;55.3;13.5;partly-cloudy
9920;14/01/2026 12:00;10.0;9.4;3.5;59.9;0.0;0;12.1;7.0;273;34.7;12.7;partly-cloudy
4520;14/01/2026 12:00;11.0;10.1;3.8;67.0;0.0;19;17.1;4.6;296;19.8;14.1;clear
5889;14/01/2026 12:00;10.4;9.6;4.0;61.6;0.0;8;16.0;7.6;221;39.5;10.8;partly-cloudy
5106;14/01/2026 12:00;10.4;9.5;3.9;80.0;0.0;20;10.8;7.5;237;19.4;12.1;clear
5174;14/01/2026 12:00;10.3;9.9;4.0;66.8;0.0;13;21.1;7.3;216;35.9;9.6;partly-cloudy
1047;14/01/2026 12:00;10.5;10.2;3.9;63.6;0.0;0;13.1;7.5;294;36.3;12.2;partly-cloudy
4890;14/01/2026 12:00;11.4;10.7;3.1;78.2;0.0;6;14.1;8.7;277;52.5;10.0;partly-cloudy
4982;14/01/2026 12:00;10.9;10.4;4.6;79.2;0.0;5;13.7;9.3;208;58.5;9.7;partly-cloudy
10063;14/01/2026 12:00;10.6;10.2;3.3;69.3;0.0;10;18.1;7.0;237;53.4;10.9;partly-cloudy
11107;14/01/2026 12:00;10.0;9.2;4.1;59.3;0.0;6;9.7;2.4;260;1.7;11.9;clear
10779;14/01/2026 12:00;10.4;9.8;4.0;66.7;0.0;29;16.7;11.4;258;79.6;10.0;partly-cloudy
6516;14/01/2026 12:00;10.2;9.4;4.3;69.8;0.0;12;12.8;9.1;263;59.0;11.7;partly-cloudy
6505;14/01/2026 12:00;10.3;9.7;3.8;78.8;0.0;17;13.6;10.4;248;14.9;7.4;clear
10922;14/01/2026 12:00;10.0;9.5;4.0;56.1;0.0;14;16.5;11.0;205;40.6;12.6;partly-cloudy
10658;14/01/2026 12:00;11.0;10.6;3.7;68.7;0.0;0;12.0;9.0;212;46.9;5.6;partly-cloudy
5888;14/01/2026 12:00;11.3;10.4;3.5;65.3;0.0;5;18.3;9.9;247;67.1;9.2;partly-cloudy
5292;14/01/2026 12:00;9.4;8.8;4.6;64.6;0.0;3;13.7;9.3;256;54.0;10.3;partly-cloudy
3410;14/01/2026 12:00;9.9;9.1;4.2;71.3;0.0;8;16.3;6.5;297;79.3;15.7;partly-cloudy
6503;14/01/2026 12:00;10.0;9.4;4.2;93.5;0.0;2;18.6;7.6;231;37.4;14.5;partly-cloudy
6506;14/01/2026 12:00;9.4;8.8;3.7;78.5;0.0;7;15.9;5.3;237;61.7;7.5;partly-cloudy
10927;14/01/2026 12:00;11.1;10.2;4.3;62.7;0.0;18;16.6;7.5;277;25.1;7.2;clear
10375;14/01/2026 12:00;10.6;9.9;3.6;65.2;0.0;9;19.2;11.8;261;11.9;14.7;clear
5035;14/01/2026 12:00;11.3;10.8;3.8;74.2;0.0;1;14.1;10.5;213;18.3;14.7;clear
9909;14/01/2026 12:00;11.0;10.6;3.8;81.2;0.0;21;13.5;4.1;228;72.8;12.1;partly-cloudy
3632;14/01/2026 12:00;9.7;9.0;3.7;67.0;0.0;0;17.3;10.4;234;67.9;10.4;partly-cloudy
4780;14/01/2026 12:00;10.9;10.1;4.5;73.9;0.0;12;11.5;7.9;276;54.6;11.5;partly-cloudy
10566;14/01/2026 12:00;9.8;9.3;3.9;73.5;0.0;7;13.5;9.7;265;23.3;9.7;clear
5151;14/01/2026 12:00;10.8;10.7;3.9;66.0;0.0;0;16.6;2.7;209;49.9;11.5;partly-cloudy
5264;14/01/2026 12:00;10.0;9.4;4.0;63.5;0.0;10;14.2;7.4;277;35.1;11.1;partly-cloudy
6906;14/01/2026 12:00;9.9;9.1;4.2;70.8;0.0;15;13.6;7.1;209;33.1;10.7;partly-cloudy
3643;14/01/2026 12:00;10.5;9.7;4.3;59.1;0.0;12;17.5;11.3;265;64.2;15.1;partly-cloudy
3664;14/01/2026 12:00;10.8;9.8;3.9;63.4;0.0;22;14.6;7.4;231;66.9;7.8;partly-cloudy
10986;14/01/2026 12:00;10.8;9.6;4.4;76.3;0.0;3;19.5;6.3;218;60.4;17.2;partly-cloudy
4596;14/01/2026 12:00;10.7;9.8;3.7;64.8;0.0;25;16.1;9.2;276;89.4;14.5;cloudy
11041;14/01/2026 12:00;9.1;8.8;3.7;65.5;0.0;35;15.3;8.4;295;43.9;10.7;partly-cloudy
11261;14/01/2026 12:00;10.0;9.0;4.9;71.8;0.0;21;18.5;8.4;204;40.1;12.6;partly-cloudy
3688;14/01/2026 12:00;10.8;10.2;4.4;54.5;0.0;19;12.3;8.4;298;39.9;11.9;partly-cloudy
6230;14/01/2026 12:00;10.3;9.7;3.9;76.7;0.0;2;14.3;10.1;273;75.7;9.2;partly-cloudy
5487;14/01/2026 12:00;10.7;10.0;3.7;77.2;0.0;6;16.7;12.1;252;30.7;16.6;partly-cloudy
5761;14/01/2026 12:00;10.1;9.5;3.7;69.6;0.0;16;18.4;7.2;237;42.8;10.6;partly-cloudy
5926;14/01/2026 12:00;9.9;9.0;3.5;63.3;0.0;0;12.2;5.2;256;83.5;11.1;cloudy
10440;14/01/2026 12:00;9.8;9.1;3.8;68.8;0.0;14;22.3;5.5;263;49.7;14.7;partly-cloudy
6335;14/01/2026 12:00;10.5;9.8;4.1;73.5;0.0;22;16.3;2.3;263;49.0;15.1;partly-cloudy
6468;14/01/2026 12:00;10.7;9.8;3.6;72.4;0.0;10;15.9;10.3;214;46.9;11.0;partly-cloudy
6473;14/01/2026 12:00;10.1;9.2;4.0;69.5;0.0;0;11.2;6.5;267;42.4;12.0;partly-cloudy
10477;14/01/2026 12:00;10.5;9.6;4.2;67.3;0.0;18;15.1;12.2;216;67.1;11.9;partly-cloudy
4124;14/01/2026 12:00;10.1;9.5;3.2;59.3;0.0;9;14.3;8.3;280;69.0;12.5;partly-cloudy
10608;14/01/2026 12:00;11.2;10.8;3.3;63.8;0.0;7;15.0;8.2;251;51.9;9.0;partly-cloudy
4291;14/01/2026 12:00;9.7;8.9;3.9;68.8;0.0;10;17.3;10.0;265;34.2;11.8;partly-cloudy
4329;14/01/2026 12:00;11.1;10.6;4.1;66.7;0.0;2;11.2;9.2;200;72.2;11.5;partly-cloudy
7102;14/01/2026 12:00;8.7;7.7;4.5;72.8;0.0;9;12.3;7.1;280;72.2;8.7;partly-cloudy
4668;14/01/2026 12:00;10.3;9.3;4.0;61.8;0.0;5;13.4;9.5;208;53.6;12.3;partly-cloudy
3787;14/01/2026 12:00;11.3;10.8;4.1;60.1;0.0;12;18.5;11.9;210;57.0;16.6;partly-cloudy
3916;14/01/2026 12:00;10.8;10.2;4.7;71.5;0.0;16;8.0;9.8;266;17.5;10.3;clear
3918;14/01/2026 12:00;9.8;9.3;4.6;73.5;0.0;12;10.2;6.7;214;40.0;13.2;partly-cloudy
11146;14/01/2026 12:00;10.4;10.0;4.4;65.6;0.0;0;17.8;7.5;200;60.2;10.3;partly-cloudy
10338;14/01/2026 12:00;10.3;9.5;4.4;78.8;0.0;10;17.4;8.7;217;45.5;9.8;partly-cloudy
1003;14/01/2026 12:00;10.7;10.1;4.1;71.2;0.0;23;15.2;5.2;297;44.7;11.8;partly-cloudy
1048;14/01/2026 12:00;10.0;9.3;3.7;69.3;0.0;1;15.5;6.1;213;42.8;11.3;partly-cloudy
6907;14/01/2026 12:00;10.0;9.4;4.2;73.6;0.0;0;16.5;8.1;235;10.0;12.9;clear
4054;14/01/2026 12:00;10.0;9.4;3.7;71.0;0.0;20;11.5;8.1;219;61.0;13.6;partly-cloudy
5540;14/01/2026 12:00;10.5;10.0;4.0;69.8;0.0;17;15.1;6.0;212;13.8;15.1;clear
5790;14/01/2026 12:00;10.7;9.9;3.8;65.0;0.0;9;16.2;7.5;273;23.9;12.5;clear
6059;14/01/2026 12:00;10.9;10.3;3.5;65.7;0.0;10;17.0;10.2;255;38.1;9.1;partly-cloudy
6242;14/01/2026 12:00;9.6;9.0;4.5;76.6;0.0;14;17.4;6.1;224;49.9;11.7;partly-cloudy
10758;14/01/2026 12:00;11.3;10.2;3.8;68.4;0.0;2;12.6;11.1;248;55.2;10.8;partly-cloudy
6345;14/01/2026 12:00;11.0;10.5;3.5;60.8;0.0;2;15.5;6.5;245;70.1;10.9;partly-cloudy
4508;14/01/2026 12:00;11.3;10.5;3.6;62.1;0.0;6;16.0;5.7;273;34.1;15.1;partly-cloudy
4914;14/01/2026 12:00;11.2;10.5;4.1;70.6;0.0;14;19.3;10.1;221;50.8;12.4;partly-cloudy
6519;14/01/2026 12:00;10.5;9.8;5.2;76.8;0.0;0;14.8;7.8;264;27.6;13.3;clear
3605;14/01/2026 12:00;9.4;8.5;4.5;68.9;0.0;14;10.9;7.2;241;36.5;14.4;partly-cloudy
4384;14/01/2026 12:00;10.6;10.1;4.1;80.9;0.0;0;16.3;7.7;289;56.3;11.3;partly-cloudy
4424;14/01/2026 12:00;11.0;10.1;3.8;71.8;0.0;16;19.8;4.3;259;47.7;11.5;partly-cloudy
5483;14/01/2026 12:00;10.8;10.3;3.7;72.9;0.0;20;18.9;8.5;294;40.0;13.6;partly-cloudy
5669;14/01/2026 12:00;10.7;9.8;4.0;81.7;0.0;12;16.1;8.6;258;50.8;13.4;partly-cloudy
5824;14/01/2026 12:00;10.2;9.6;4.2;74.9;0.0;6;12.0;8.9;281;34.8;11.6;partly-cloudy
10342;14/01/2026 12:00;9.9;9.3;4.2;79.7;0.1;11;16.0;6.5;224;44.0;9.9;partly-cloudy
6172;14/01/2026 12:00;11.5;10.7;3.7;70.0;0.0;13;13.3;7.1;207;49.7;12.7;partly-cloudy
6361;14/01/2026 12:00;10.3;9.6;3.8;77.0;0.0;19;18.0;8.4;272;42.8;10.9;partly-cloudy
10241;14/01/2026 12:00;10.4;9.2;4.1;66.5;0.0;9;16.1;7.3;276;74.7;12.0;partly-cloudy
10937;14/01/2026 12:00;10.9;10.0;4.0;67.4;0.0;7;13.1;9.1;283;24.8;10.7;clear
4218;14/01/2026 12:00;10.8;10.4;3.8;64.3;0.1;0;11.6;9.6;244;56.2;13.1;partly-cloudy
9932;14/01/2026 12:00;9.9;9.1;3.6;79.5;0.0;0;18.4;8.5;285;66.3;10.0;partly-cloudy
5134;14/01/2026 12:00;11.3;10.7;4.5;74.9;0.0;16;20.5;10.8;232;57.6;9.0;partly-cloudy
4604;14/01/2026 12:00;10.2;9.8;4.6;75.5;0.0;6;19.9;13.6;282;36.6;14.6;partly-cloudy
10188;14/01/2026 12:00;10.0;9.5;3.3;66.5;0.0;7;13.0;9.4;299;67.8;8.7;partly-cloudy
3641;14/01/2026 12:00;11.1;10.6;4.5;75.1;0.1;13;17.3;7.5;215;35.2;13.3;partly-cloudy
4165;14/01/2026 12:00;12.0;11.3;3.4;69.0;0.0;16;15.1;7.7;284;46.4;11.0;partly-cloudy
4722;14/01/2026 12:00;10.5;9.4;3.4;77.3;0.0;0;11.8;7.1;261;55.2;12.3;partly-cloudy
6584;14/01/2026 12:00;11.5;11.0;3.3;75.6;0.0;8;12.8;5.2;216;69.2;13.8;partly-cloudy
5313;14/01/2026 12:00;9.8;9.2;4.2;75.0;0.0;21;13.8;11.0;231;50.2;12.0;partly-cloudy
10422;14/01/2026 12:00;10.6;9.9;3.8;64.5;0.0;7;17.5;6.4;248;55.1;8.4;partly-cloudy
3932;14/01/2026 12:00;11.1;10.5;4.4;64.1;0.0;12;17.8;6.5;255;61.6;10.0;partly-cloudy
9907;14/01/2026 12:00;10.4;9.3;4.0;64.4;0.0;0;14.6;9.7;204;30.6;8.9;partly-cloudy
4856;14/01/2026 12:00;10.3;9.8;3.8;67.3;0.0;10;12.6;7.1;268;22.0;17.4;clear
4995;14/01/2026 12:00;9.9;8.9;4.9;60.9;0.0;8;14.1;8.6;265;57.4;13.7;partly-cloudy
10394;14/01/2026 12:00;10.3;10.0;3.4;73.0;0.1;19;13.8;10.9;250;56.4;15.7;partly-cloudy
9989;14/01/2026 12:00;11.4;10.5;4.2;68.2;0.0;7;14.1;8.2;218;39.9;9.2;partly-cloudy
4930;14/01/2026 12:00;10.1;9.3;3.2;63.4;0.1;3;15.2;6.4;281;14.6;14.4;clear
10258;14/01/2026 12:00;10.5;9.8;4.0;65.8;0.0;16;17.6;7.4;272;32.5;12.3;partly-cloudy
10793;14/01/2026 12:00;10.1;9.7;4.2;65.8;0.0;23;15.5;9.5;203;70.8;11.7;partly-cloudy
3897;14/01/2026 12:00;11.1;10.1;4.5;70.7;0.0;8;17.0;6.9;203;50.4;13.5;partly-cloudy
11352;14/01/2026 12:00;9.8;9.4;3.8;61.5;0.0;25;18.3;8.1;273;52.2;9.9;partly-cloudy
4068;14/01/2026 12:00;10.4;9.4;4.0;59.4;0.0;27;13.6;5.8;240;90.1;10.9;cloudy
5566;14/01/2026 12:00;11.3;10.7;3.8;78.1;0.0;13;23.4;7.9;274;20.4;10.4;clear
5773;14/01/2026 12:00;10.6;10.0;4.0;67.1;0.0;20;13.6;8.8;241;37.9;14.9;partly-cloudy
10146;14/01/2026 12:00;10.8;10.1;3.5;63.5;0.0;11;9.0;10.5;282;65.8;13.1;partly-cloudy
4986;14/01/2026 12:00;10.3;9.6;3.3;74.0;0.0;19;14.1;7.8;273;35.2;13.1;partly-cloudy
5148;14/01/2026 12:00;10.4;9.8;3.8;75.2;0.0;14;11.9;10.7;297;60.3;8.2;partly-cloudy
10360;14/01/2026 12:00;10.6;10.0;3.8;69.7;0.0;0;13.0;9.8;228;21.6;10.7;clear
5238;14/01/2026 12:00;10.2;9.6;4.2;77.3;0.0;3;14.9;6.8;282;48.9;10.9;partly-cloudy
5590;14/01/2026 12:00;11.2;10.5;3.3;66.0;0.0;4;17.1;8.1;251;17.8;15.4;clear
3852;14/01/2026 12:00;11.4;10.4;4.1;64.4;0.0;6;12.8;7.0;272;60.0;10.9;partly-cloudy
10144;14/01/2026 12:00;10.9;10.1;4.2;54.5;0.0;15;17.8;11.0;267;69.1;14.8;partly-cloudy
6512;14/01/2026 12:00;11.0;9.9;3.8;70.4;0.0;7;17.8;5.0;245;64.8;12.3;partly-cloudy
9863;14/01/2026 12:00;10.3;9.5;4.3;62.9;0.0;12;15.7;5.8;299;61.0;14.2;partly-cloudy
3631;14/01/2026 12:00;11.0;10.3;3.7;75.2;0.0;17;14.7;11.0;298;47.4;13.1;partly-cloudy
6819;14/01/2026 12:00;10.3;9.8;4.6;86.3;0.0;13;17.9;6.8;202;70.5;7.4;partly-cloudy
4381;14/01/2026 12:00;10.9;9.9;4.1;66.1;0.0;5;14.4;9.0;233;44.7;13.8;partly-cloudy
6026;14/01/2026 12:00;8.9;8.4;3.9;76.1;0.0;15;13.2;9.4;224;39.6;11.0;partly-cloudy
10128;14/01/2026 12:00;10.6;9.8;4.3;65.7;0.0;10;13.4;5.6;285;40.5;9.0;partly-cloudy
6070;14/01/2026 12:00;10.4;10.0;3.5;67.6;0.0;0;12.6;9.3;217;49.0;11.0;partly-cloudy
10147;14/01/2026 12:00;10.0;9.0;3.7;67.2;0.0;20;16.2;11.3;293;44.3;15.8;partly-cloudy
6374;14/01/2026 12:00;10.9;10.2;4.3;76.6;0.0;9;18.9;9.1;240;33.0;11.2;partly-cloudy
4776;14/01/2026 12:00;10.4;9.8;4.0;74.8;0.0;10;16.8;7.4;264;38.3;6.1;partly-cloudy
11344;14/01/2026 12:00;11.2;10.6;4.2;72.6;0.0;0;19.5;5.8;230;53.2;12.5;partly-cloudy
11091;14/01/2026 12:00;10.6;9.9;4.2;71.2;0.0;12;14.5;7.9;295;57.1;13.1;partly-cloudy
4839;14/01/2026 12:00;10.2;9.3;4.2;83.9;0.1;8;7.4;7.9;263;53.6;12.7;partly-cloudy
3517;14/01/2026 12:00;9.8;8.8;3.6;84.5;0.0;4;11.5;7.4;262;39.9;9.7;partly-cloudy
10393;14/01/2026 12:00;10.8;9.8;3.8;70.5;0.0;13;16.7;5.7;285;38.8;11.1;partly-cloudy
3443;14/01/2026 12:00;10.2;9.3;4.6;76.6;0.0;13;12.8;6.9;293;53.5;15.5;partly-cloudy
5069;14/01/2026 12:00;9.5;8.9;3.2;69.1;0.0;9;20.2;4.4;296;60.2;11.7;partly-cloudy
3794;14/01/2026 12:00;10.3;9.5;3.4;70.9;0.0;8;16.1;5.1;238;15.1;10.6;clear
4994;14/01/2026 12:00;10.4;9.8;4.0;77.8;0.0;10;19.3;7.5;283;90.3;12.3;cloudy
10364;14/01/2026 12:00;10.9;10.4;3.8;72.9;0.1;0;20.0;10.9;272;51.5;13.9;partly-cloudy
3770;14/01/2026 12:00;10.7;10.0;3.9;60.6;0.0;10;15.1;7.1;253;31.7;15.4;partly-cloudy
10008;14/01/2026 12:00;10.0;9.2;4.8;67.9;0.0;7;17.1;5.2;291;40.3;13.0;partly-cloudy
10112;14/01/2026 12:00;10.4;9.7;3.6;66.0;0.0;8;16.0;6.5;265;91.0;13.4;cloudy
6052;14/01/2026 12:00;10.9;9.8;4.2;72.6;0.0;8;12.4;6.5;202;81.7;13.9;cloudy
6337;14/01/2026 12:00;10.0;9.4;4.4;74.9;0.1;14;16.4;7.5;256;56.8;14.9;partly-cloudy
4996;14/01/2026 12:00;10.0;9.6;3.9;71.1;0.0;17;16.0;5.5;250;44.4;11.7;partly-cloudy
6578;14/01/2026 12:00;11.6;10.7;4.4;59.3;0.0;5;13.3;9.2;282;76.0;11.1;partly-cloudy
10796;14/01/2026 12:00;10.8;9.9;4.3;66.0;0.0;1;14.5;8.6;236;35.7;13.9;partly-cloudy
1022;14/01/2026 12:00;10.5;10.0;3.7;65.4;0.0;16;18.1;10.5;294;46.8;10.0;partly-cloudy
1027;14/01/2026 12:00;10.3;9.2;4.2;67.2;0.0;28;13.5;11.8;207;97.8;11.3;cloudy
7119;14/01/2026 12:00;11.3;11.0;3.8;66.2;0.0;17;10.5;7.5;296;53.6;11.6;partly-cloudy
5712;14/01/2026 12:00;11.0;10.0;4.1;76.5;0.0;6;15.7;5.8;297;21.6;11.0;clear
10825;14/01/2026 12:00;10.6;9.8;3.5;69.4;0.0;6;11.6;10.9;245;64.9;13.3;partly-cloudy
6169;14/01/2026 12:00;10.3;9.6;4.3;70.8;0.0;26;13.5;8.6;201;47.6;12.2;partly-cloudy
11170;14/01/2026 12:00;10.1;9.3;4.0;72.2;0.0;4;14.9;7.6;220;51.7;13.4;partly-cloudy
11232;14/01/2026 12:00;10.0;8.9;3.7;64.0;0.0;11;21.4;10.9;249;83.5;13.7;cloudy
10878;14/01/2026 12:00;10.1;9.3;3.7;76.1;0.0;12;12.3;5.8;246;37.2;16.2;partly-cloudy
4558;14/01/2026 12:00;9.5;8.6;4.1;75.9;0.0;10;15.5;8.1;215;28.8;10.6;clear
4609;14/01/2026 12:00;10.9;10.5;4.1;58.5;0.0;7;12.7;10.4;254;46.4;12.6;partly-cloudy
6912;14/01/2026 12:00;11.3;10.2;4.1;74.3;0.0;10;14.3;8.8;259;55.4;14.8;partly-cloudy
4841;14/01/2026 12:00;10.9;10.6;3.9;66.0;0.0;24;19.0;8.2;292;24.2;14.4;clear
5890;14/01/2026 12:00;9.8;9.4;3.9;65.1;0.0;1;9.9;7.9;210;43.6;15.9;partly-cloudy
11262;14/01/2026 12:00;10.2;9.6;3.4;73.6;0.0;27;19.9;8.2;294;47.3;13.3;partly-cloudy
10553;14/01/2026 12:00;10.9;10.5;4.3;69.1;0.0;5;10.7;3.6;267;63.9;12.4;partly-cloudy
5963;14/01/2026 12:00;11.0;10.4;3.4;71.0;0.0;10;14.7;7.0;237;55.2;10.4;partly-cloudy
10439;14/01/2026 12:00;10.3;9.5;4.1;73.8;0.0;8;14.1;9.3;219;71.2;15.6;partly-cloudy
3672;14/01/2026 12:00;9.7;9.0;4.6;74.7;0.0;10;14.7;9.2;242;66.0;9.1;partly-cloudy
5064;14/01/2026 12:00;10.1;9.1;3.9;76.5;0.0;13;20.6;6.1;223;52.6;11.9;partly-cloudy
5242;14/01/2026 12:00;10.3;9.5;4.3;67.5;0.0;21;17.5;4.6;216;33.8;12.0;partly-cloudy
10081;14/01/2026 12:00;10.5;9.7;4.3;73.7;0.1;0;14.9;7.7;291;58.0;15.3;partly-cloudy
3436;14/01/2026 12:00;11.3;10.5;3.9;68.0;0.0;13;15.7;11.7;218;67.9;11.4;partly-cloudy
5994;14/01/2026 12:00;10.7;9.9;4.5;68.4;0.0;16;12.6;8.6;250;86.5;11.6;cloudy
6260;14/01/2026 12:00;10.0;9.2;3.5;69.3;0.0;11;12.1;9.5;217;55.9;13.7;partly-cloudy
6405;14/01/2026 12:00;11.0;10.2;3.6;63.9;0.0;7;14.5;7.5;241;56.1;11.6;partly-cloudy
10353;14/01/2026 12:00;11.4;10.9;4.3;82.9;0.0;14;16.3;7.2;211;62.6;11.4;partly-cloudy
11166;14/01/2026 12:00;11.1;10.7;4.2;58.5;0.0;13;15.0;6.3;286;81.3;10.1;cloudy
4196;14/01/2026 12:00;9.5;9.1;3.6;64.8;0.0;15;18.5;5.5;298;78.9;13.8;partly-cloudy
3739;14/01/2026 12:00;11.2;10.6;4.4;68.9;0.0;12;16.0;5.8;208;58.5;10.2;partly-cloudy
9906;14/01/2026 12:00;9.9;9.3;4.4;74.3;0.0;9;7.6;9.4;213;61.7;6.4;partly-cloudy
4803;14/01/2026 12:00;11.1;10.5;4.2;75.4;0.0;13;13.4;8.1;243;35.3;13.1;partly-cloudy
10871;14/01/2026 12:00;10.9;10.2;3.9;58.6;0.0;14;13.7;9.1;260;36.0;8.4;partly-cloudy
5169;14/01/2026 12:00;10.8;10.2;4.5;66.9;0.0;10;16.5;9.5;222;55.2;14.0;partly-cloudy
7037;14/01/2026 12:00;11.2;10.5;3.6;53.4;0.0;5;20.6;6.7;269;62.7;10.4;partly-cloudy
7032;14/01/2026 12:00;9.5;9.0;3.9;72.4;0.0;16;13.3;9.7;203;70.8;11.4;partly-cloudy
5823;14/01/2026 12:00;10.9;10.0;4.1;74.8;0.0;21;11.5;8.1;230;68.1;7.8;partly-cloudy
11133;14/01/2026 12:00;11.3;10.6;4.2;72.6;0.0;3;12.6;6.2;209;56.2;14.4;partly-cloudy
9846;14/01/2026 12:00;10.7;9.9;4.2;75.9;0.0;0;18.2;9.2;264;82.4;5.7;cloudy
3908;14/01/2026 12:00;10.6;9.9;3.3;74.0;0.0;4;12.7;6.1;244;68.8;12.3;partly-cloudy
4407;14/01/2026 12:00;10.7;10.0;3.8;77.3;0.0;17;10.1;7.1;200;61.6;15.1;partly-cloudy
